method,bucket,delta_mean,delta_lo,delta_hi,improved_mean,improved_lo,improved_hi,n
grpo_nli_400step,92.5,-0.018518518518518517,-0.3155092592592592,0.3148148148148148,0.09259259259259259,0.036805555555555564,0.1574074074074074,108
grpo_nli_single,17.5,15.332175925925926,13.193923611111112,18.044560185185183,0.6655092592592593,0.6226851851851852,0.7083333333333334,864
grpo_nli_single,22.5,16.658289241622576,15.169091710758378,17.96661155202822,0.6984126984126984,0.6736882716049383,0.7213624338624338,2268
grpo_nli_single,27.5,18.016273849607185,16.775659371492704,19.264611391694725,0.6885521885521886,0.6683361391694725,0.7104447250280583,3564
grpo_nli_single,32.5,18.154074074074074,17.339407407407407,19.031328703703704,0.7022222222222222,0.6853657407407407,0.7185555555555555,5400
grpo_nli_single,37.5,17.78410117434508,17.001787865100873,18.616704305931947,0.6909063535079796,0.6768932550436615,0.7061126166817224,6642
grpo_nli_single,42.5,17.9258008008008,17.212875375375376,18.708483483483484,0.6751751751751752,0.6625187687687688,0.6878378378378378,7992
grpo_nli_single,47.5,18.05237446034992,17.3311775732788,18.8062258577596,0.676209952283572,0.662463076573506,0.6899653487843671,8802
grpo_nli_single,52.5,17.020541025928836,16.408557099101056,17.64584409024582,0.6877315074643618,0.6745584058667803,0.701804152637486,8909
grpo_nli_single,57.5,15.542381307481978,14.873188540889883,16.196150260999254,0.6772309221973651,0.6620463584389759,0.6922694506587124,8046
grpo_nli_single,62.5,12.840432098765431,12.191242283950617,13.535601851851851,0.6496913580246914,0.6317862654320987,0.6685262345679012,6480
grpo_nli_single,67.5,13.224131347842688,12.693776250477281,13.7782836960672,0.6905307369224895,0.6752434135166094,0.70754104620084,5238
grpo_nli_single,72.5,11.57241215574549,11.065592355175689,12.027172364672364,0.7060778727445394,0.6885090218423552,0.72127849002849,4212
grpo_nli_single,77.5,7.584656084656085,6.790072751322751,8.245833333333334,0.6211640211640211,0.6063425925925926,0.6359854497354497,3780
grpo_nli_single,82.5,4.64429012345679,3.952372685185185,5.176041666666666,0.5794753086419753,0.5624903549382716,0.5949074074074074,2592
grpo_nli_single,87.5,1.1560044893378227,0.731158810325477,1.503605499438832,0.35297418630751964,0.3327721661054994,0.3731902356902357,1782
grpo_nli_single,92.5,-0.39814814814814814,-0.5925925925925926,-0.13865740740740762,0.037037037037037035,0.009259259259259259,0.07407407407407407,108
lit_informed_tight_strictlen_opus47,17.5,50.010416666666664,44.06067708333333,56.385416666666664,0.9895833333333334,0.96875,1.0,96
lit_informed_tight_strictlen_opus47,22.5,47.611111111111114,45.29513888888889,50.19454365079365,0.9880952380952381,0.9722222222222222,1.0,252
lit_informed_tight_strictlen_opus47,27.5,47.744949494949495,45.445580808080805,49.97967171717171,0.9848484848484849,0.9671717171717171,0.9974747474747475,396
lit_informed_tight_strictlen_opus47,32.5,45.93333333333333,44.53304166666666,47.26199999999999,0.9966666666666667,0.9916666666666667,1.0,600
lit_informed_tight_strictlen_opus47,37.5,41.89972899728997,40.575304878048776,43.140006775067754,0.978319783197832,0.96880081300813,0.9878048780487805,738
lit_informed_tight_strictlen_opus47,42.5,39.1554054054054,38.19898648648648,40.1209740990991,0.9695945945945946,0.9572072072072072,0.9786317567567567,888
lit_informed_tight_strictlen_opus47,47.5,35.79550102249489,34.87448875255624,36.751712678936606,0.9591002044989775,0.9468302658486708,0.9703732106339468,978
lit_informed_tight_strictlen_opus47,52.5,32.104040404040404,31.279141414141414,32.84962121212121,0.9575757575757575,0.9464646464646465,0.9697222222222223,990
lit_informed_tight_strictlen_opus47,57.5,27.93288590604027,27.130089485458612,28.757354586129754,0.9250559284116331,0.9060402684563759,0.9418624161073825,894
lit_informed_tight_strictlen_opus47,62.5,23.927777777777777,23.2175,24.558576388888888,0.8944444444444445,0.8708333333333333,0.9166666666666666,720
lit_informed_tight_strictlen_opus47,67.5,20.7766323024055,20.15953608247423,21.338702749140893,0.872852233676976,0.8505154639175257,0.8969072164948454,582
lit_informed_tight_strictlen_opus47,72.5,16.497863247863247,15.813995726495726,17.104861111111113,0.8290598290598291,0.8055021367521368,0.8547008547008547,468
lit_informed_tight_strictlen_opus47,77.5,11.752380952380953,11.265952380952381,12.214345238095238,0.7238095238095238,0.7,0.7476190476190476,420
